                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.64172,                0.53329,                 1.0211,                0.92866,                0.82791,                0.89614,                0.71158,                 1.0139,                0.77145,                 1.2917,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                0.61899,                0.52024,                 1.0114,                0.88216,                0.86551,                0.89316,                0.70349,                 1.0144,                0.77381,                 1.2969,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                0.63872,                0.54145,                 1.0202,                0.85353,                0.86815,                0.89538,                0.70634,                 1.0065,                0.76969,                 1.2879,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                0.61722,                0.50722,                 1.0137,                0.92583,                0.83044,                0.89626,                0.70168,                  1.009,                 0.7734,                 1.2954,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                0.61375,                0.51133,                 1.0178,                0.93773,                0.82053,                0.89829,                0.70722,                  1.013,                0.76926,                  1.296,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                0.63354,                0.51866,                 1.0159,                0.87117,                0.87266,                0.89652,                0.70624,                 1.0146,                0.75429,                 1.2981,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.61368,                0.50438,                 1.0149,                0.85394,                0.87234,                0.89702,                0.70776,                 1.0142,                0.76151,                 1.2957,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.62139,                0.51247,                 1.0033,                0.91218,                 0.8301,                0.87797,                0.68245,                 1.0306,                0.76844,                 1.3282,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.58684,                0.45294,                 0.9835,                0.90054,                0.83758,                0.88061,                0.68773,                 1.0251,                0.76857,                 1.3143,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.57634,                0.48749,                0.99453,                0.90556,                0.83804,                  0.884,                0.68467,                 1.0331,                0.76188,                 1.3203,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.56124,                0.43923,                0.97019,                0.92436,                0.82493,                0.89521,                0.69388,                 1.0267,                0.75433,                 1.3119,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.57085,                0.44175,                0.97358,                0.92392,                0.83768,                 0.8971,                0.69605,                 1.0222,                0.74041,                 1.3072,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                 0.5955,                0.45762,                0.99886,                0.91524,                 0.8374,                0.89588,                0.69992,                 1.0228,                0.74404,                 1.3137,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.55209,                0.46232,                0.97559,                 0.9239,                0.83901,                0.88939,                0.69201,                 1.0152,                0.74675,                 1.3124,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.56574,                0.45483,                0.97851,                0.91611,                0.84244,                0.89697,                0.70129,                 1.0138,                0.74851,                 1.3038,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.56154,                0.49763,                0.97216,                 0.9243,                0.83833,                0.88865,                0.69642,                 1.0086,                0.74286,                 1.3083,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                0.54979,                0.44945,                0.97083,                0.92665,                0.83928,                0.88957,                0.69508,                 1.0084,                0.74182,                 1.3064,             9.9234e-06,             9.9234e-06,             9.9234e-06
